SENT#,WORD,POS,NER,TAG
5,THÔNG BÁO,Np,B-PER,
5,VỀ,Np,B-PER,
5,CA,Np,I-PER,
5,BỆNH BN336,Np,I-PER,
5,-,CH,O,
5,BN342,Np,B-LOC,B-BN
5,:,CH,O,
5,BN336,Np,B-LOC,B-BN
5,:,CH,B-LOC,
5,BN,Np,I-LOC,
5,nam,N,O,B-SEX
5,",",CH,O,
5,29,M,O,B-AGE
5,tuổi,N,O,
5,",",CH,O,
5,có,V,O,
5,địa chỉ,N,O,
5,tại,E,O,
5,Nghi Lộc,Np,B-LOC,B-ADD
5,",",CH,B-LOC,I-ADD
5,Nghệ An,Np,I-LOC,I-ADD
5,.,CH,O,
6,BN337,Np,B-PER,B-BN
6,:,CH,O,
6,BN,Np,O,
6,nam,N,O,B-SEX
6,",",CH,O,
6,25,M,O,B-AGE
6,tuổi,N,O,
6,",",CH,O,
6,có,V,O,
6,địa chỉ,N,O,
6,tại,E,O,
6,Hoằng Hoá,Np,B-LOC,B-ADD
6,",",CH,B-LOC,I-ADD
6,Thanh Hoá,Np,I-LOC,I-ADD
6,.,CH,O,
7,BN338,Np,B-PER,B-BN
7,:,CH,O,
7,BN,Np,O,
7,nam,N,O,B-SEX
7,",",CH,O,
7,38,M,O,B-AGE
7,tuổi,N,O,
7,",",CH,O,
7,có,V,O,
7,địa chỉ,N,O,
7,tại,E,O,
7,Lạng Giang,Np,B-LOC,B-ADD
7,",",CH,B-LOC,I-ADD
7,Bắc Giang,Np,I-LOC,I-ADD
7,.,CH,O,
8,BN339,Np,B-PER,B-BN
8,:,CH,O,
8,BN,Np,O,
8,nam,N,O,B-SEX
8,",",CH,O,
8,37,M,O,
8,tuổi,N,O,
8,",",CH,O,
8,có,V,O,
8,địa chỉ,N,O,
8,tại,E,O,
8,Diễn Châu,Np,B-LOC,B-ADD
8,",",CH,B-LOC,I-ADD
8,Nghệ An,Np,I-LOC,I-ADD
8,.,CH,O,
9,BN340,Np,B-PER,B-BN
9,:,CH,O,
9,BN,Np,O,
9,nam,N,O,B-SEX
9,",",CH,O,
9,33,M,O,B-AGE
9,tuổi,N,O,
9,",",CH,O,
9,có,V,O,
9,địa chỉ,N,O,
9,tại,E,O,
9,Yên Thành,Np,B-LOC,B-ADD
9,",",CH,B-LOC,I-ADD
9,Nghệ An,Np,I-LOC,I-ADD
9,.,CH,O,
10,BN341,Np,B-PER,B-BN
10,:,CH,O,
10,BN,Np,O,
10,nam,N,O,B-SEX
10,",",CH,O,
10,35,M,O,B-AGE
10,tuổi,N,O,
10,",",CH,O,
10,có,V,O,
10,địa chỉ,N,O,
10,tại,E,O,
10,Tứ Kỳ,Np,B-LOC,B-ADD
10,",",CH,B-LOC,I-ADD
10,Hải Dương,Np,I-LOC,I-ADD
10,.,CH,O,
11,BN342,Np,B-PER,B-BN
11,:,CH,O,
11,BN,Np,O,
11,nam,N,O,B-SEX
11,",",CH,O,
11,41,M,O,B-AGE
11,tuổi,N,O,
11,",",CH,O,
11,có,V,O,
11,địa chỉ,N,O,
11,tại,E,O,
11,Hương Khê,Np,B-LOC,B-ADD
11,",",CH,B-LOC,I-ADD
11,Hà Tĩnh,Np,I-LOC,I-ADD
11,.,CH,O,
12,Ngày,N,O,
12,16/6,M,O,B-TIME
12,các,L,O,
12,BN,Np,B-PER,B-BNS
12,này,P,O,
12,từ,E,O,B-R
12,Kuwait,Np,B-LOC,B-LOC
12,(,CH,O,
12,quá cảnh,N,B-LOC,B-R
12,Quatar,Np,I-LOC,B-LOC
12,),CH,O,
12,về,E,O,B-R
12,sân bay,N,B-LOC,B-LOC
12,Tân Sơn Nhất,Np,I-LOC,I-LOC
12,",",CH,O,I-LOC
12,TP.,Ny,B-MISC,I-LOC
12,Hồ Chí Minh,Np,I-MISC,I-LOC
12,trên,E,O,
12,chuyến,N,O,
12,bay,V,O,
12,QH9092,Np,B-LOC,B-FLIGHT
12,và,C,O,
12,được,V,O,
12,cách ly,V,O,B-R
12,ngay,T,O,
12,tại,E,O,
12,khu,N,B-LOC,B-LOC
12,cách ly,V,I-LOC,I-LOC
12,thị xã,N,I-LOC,I-LOC
12,Phú Mỹ,Np,I-LOC,I-LOC
12,",",CH,O,I-LOC
12,tỉnh,N,B-LOC,I-LOC
12,Bà Rịa,Np,I-LOC,I-LOC
12,-,CH,O,I-LOC
12,Vũng Tàu,Np,B-LOC,I-LOC
12,.,CH,O,
13,Ngày,N,O,
13,17/6,M,O,B-TIME
13,",",CH,O,
13,các,L,O,
13,BN,Np,B-PER,B-BNS
13,được,V,O,
13,lấy,V,O,
13,mẫu,N,O,
13,xét nghiệm,V,O,
13,.,CH,O,
14,Kết quả,N,O,
14,xét nghiệm,V,O,
14,ngày,N,B-LOC,
14,17/6,M,I-LOC,B-TIME
14,là,V,O,
14,dương tính,N,O,B-STATUS
14,với,E,O,
14,SARS,Np,B-LOC,
14,-,CH,O,
14,CoV,Ny,O,
14,-,CH,O,
14,2,M,O,
14,.,CH,O,
15,Hiện,N,O,
15,7,M,O,
15,BN,Np,B-LOC,B-BNS
15,được,V,O,
15,cách ly,V,O,B-R
15,",",CH,O,
15,điều trị,V,O,B-R
15,tại,E,O,
15,Bệnh viện,N,B-LOC,B-LOC
15,Bà Rịa,Np,I-LOC,I-LOC
15,.,CH,O,
16,THÔNG BÁO,Np,B-PER,
16,VỀ,Np,B-PER,
16,BN335,Np,I-PER,B-BN
16,(,CH,O,
16,BN335,Np,B-LOC,B-BN
16,),CH,O,
16,:,CH,O,
16,BN,Np,B-PER,
16,nam,N,O,B-SEX
16,",",CH,O,
16,24,M,O,B-AGE
16,tuổi,N,O,
16,",",CH,O,
16,có,V,O,
16,địa chỉ,N,O,
16,tại,E,O,
16,xã,N,B-LOC,B-ADD
16,Khôi Kỳ,Np,I-LOC,I-ADD
16,",",CH,O,I-ADD
16,huyện,N,B-LOC,I-ADD
16,Đại Từ,Np,I-LOC,I-ADD
16,",",CH,O,I-ADD
16,tỉnh,N,B-LOC,I-ADD
16,Thái Nguyên,Np,I-LOC,I-ADD
16,",",CH,O,
16,sống,V,O,B-R
16,và,C,O,
16,làm việc,V,O,B-R
16,tại,E,O,
16,Kuwait,Np,B-LOC,B-LOC
16,2,M,O,
16,năm,N,O,
16,.,CH,O,
17,Ngày,N,O,
17,16/6,M,O,B-TIME
17,BN,Np,B-LOC,B-BN
17,từ,E,O,B-R
17,Kuwait,Np,B-LOC,B-LOC
17,(,CH,O,
17,quá cảnh,N,B-LOC,B-R
17,Quatar,Np,I-LOC,B-LOC
17,),CH,O,
17,về,E,O,B-R
17,sân bay,N,B-LOC,B-LOC
17,Tân Sơn Nhất,Np,I-LOC,I-LOC
17,được,R,O,
17,cách ly,V,O,
17,ngay,R,O,
17,",",CH,O,
17,lấy,V,O,
17,mẫu,N,O,
17,xét nghiệm,V,O,B-R
17,tại,E,O,
17,Bệnh viện,N,B-LOC,B-HOS
17,Bệnh,N,I-LOC,I-HOS
17,nhiệt đới,N,I-LOC,I-HOS
17,TP.,Ny,I-LOC,I-HOS
17,HCM.,Np,I-LOC,I-HOS
18,Kết quả,N,O,
18,xét nghiệm,V,O,
18,ngày,N,O,
18,16/6,M,O,B-TIME
18,dương tính,N,O,B-STATUS
18,với,E,O,
18,SARS,Np,B-LOC,
18,-,CH,O,
18,CoV,Ny,O,
18,-,CH,O,
18,2,M,O,
18,.,CH,O,
19,Hiện,N,B-LOC,
19,BN,Np,I-LOC,B-BN
19,được,R,O,
19,cách ly,V,O,B-R
19,",",CH,O,
19,điều trị,V,O,B-R
19,tại,E,O,
19,Bệnh viện,N,B-LOC,B-HOS
19,Bệnh,N,I-LOC,I-HOS
19,nhiệt đới,N,I-LOC,I-HOS
19,TP.,Ny,I-LOC,I-HOS
19,HCM.,Np,I-LOC,I-HOS
20,Như vậy,X,O,
20,",",CH,O,
20,tính,V,O,
20,đến,E,O,
20,6h,M,O,
20,ngày,N,O,
20,17/6,M,O,B-TIME
20,",",CH,O,
20,Việt Nam,Np,B-LOC,
20,có,V,O,
20,tổng cộng,N,O,
20,195,V,O,
20,ca,N,O,
20,nhiễm,V,O,
20,nhập cảnh,N,O,
20,được,V,O,
20,cách ly,V,O,
20,ngay,R,O,
20,",",CH,O,
20,không,R,O,
20,có,V,O,
20,nguy cơ,N,O,
20,lây,V,O,
20,ra,V,O,
20,cộng đồng,N,O,
20,",",CH,O,
20,đồng thời,R,O,
20,ghi nhận,V,O,
20,62,M,O,
20,ngày,N,O,
20,liên tiếp,A,O,
20,không,R,O,
20,có,V,O,
20,ca,N,O,
20,nhiễm,V,O,
20,trong,E,O,
20,cộng đồng,N,O,
20,.,CH,O,
21,THÔNG BÁO,Np,B-PER,
21,VỀ,Np,B-PER,
21,CA BỆNH,Np,I-PER,
21,334,V,O,
21,(,CH,O,
21,BN334,Np,B-LOC,B-BN
21,),CH,O,
21,:,CH,O,
21,BN,N,O,
21,nam,N,O,B-SEX
21,",",CH,O,
21,29,M,O,
21,tuổi,N,O,
21,",",CH,O,
21,có,V,O,
21,địa chỉ,N,O,
21,tại,E,O,
21,quận,N,B-LOC,B-ADD
21,Bình Tân,Np,I-LOC,I-ADD
21,",",CH,O,I-ADD
21,TP,Ny,O,I-ADD
21,Hồ Chí Minh,Np,B-PER,I-ADD
21,.,CH,O,
22,Ngày,N,O,
22,14/01/2020,V,O,B-TIME
22,đi,V,O,
22,du lịch,V,O,B-R
22,tới,E,O,
22,Trung Quốc,Np,B-LOC,B-LOC
22,",",CH,O,
22,do,E,O,
22,dịch bệnh,N,O,
22,nên,C,O,
22,bị,V,O,
22,kẹt,V,O,
22,không,R,O,
22,về,V,O,
22,Việt Nam,Np,B-LOC,
22,được,R,O,
22,.,CH,O,
23,Ngày,N,O,
23,31/5/2020,M,O,B-TIME
23,BN,N,O,
23,từ,E,O,B-R
23,Hồ Bắc,Np,B-LOC,B-LOC
23,",",CH,O,I-LOC
23,Trung Quốc,Np,B-LOC,I-LOC
23,đi,V,O,
23,máy bay,N,O,
23,đến,E,O,B-R
23,Nam Ninh,Np,B-LOC,B-LOC
23,",",CH,O,I-LOC
23,Trung Quốc,Np,B-LOC,I-LOC
23,",",CH,O,
23,sau,N,O,
23,đó,P,O,
23,nhập cảnh,V,O,B-R
23,vào,E,O,
23,Việt Nam,Np,B-LOC,B-LOC
23,qua,V,O,
23,cửa khẩu,N,O,
23,quốc tế,N,B-LOC,
23,Móng Cái,Np,I-LOC,
23,",",CH,O,
23,Quảng Ninh,Np,B-LOC,
23,.,CH,O,
24,Ngay,T,O,
24,sau,N,O,
24,khi,N,O,
24,nhập cảnh,V,O,
24,(,CH,O,
24,ngày,N,B-LOC,
24,31/5/2020,M,I-LOC,B-TIME
24,),CH,O,
24,BN,N,O,B-BN
24,được,V,O,B-R
24,đưa,V,O,I-R
24,đến,E,O,I-R
24,khu,N,O,B-LOC
24,cách ly,V,O,I-LOC
24,tập trung,V,O,I-LOC
24,ở,E,O,I-LOC
24,Móng Cái,Np,B-LOC,I-LOC
24,.,CH,O,
25,Trung tâm,N,O,
25,Kiểm soát,V,O,
25,bệnh tật,N,B-LOC,
25,tỉnh,N,I-LOC,
25,Quảng Ninh,Np,I-LOC,
25,lấy,V,O,
25,mẫu,N,O,
25,xét nghiệm,V,O,
25,lần,N,B-LOC,
25,1,M,I-LOC,
25,ngày,N,B-LOC,
25,03/06/2020,M,I-LOC,B-TIME
25,cho,E,O,
25,kết quả,N,O,
25,âm tính,V,O,B-STATUS
25,với,E,O,
25,SARS,Np,B-PER,
25,-,CH,O,
25,CoV,Ny,O,
25,-,CH,O,
25,2,M,O,
25,.,CH,O,
26,Xét nghiệm,V,O,
26,lần,N,O,
26,2,M,O,
26,ngày,N,B-LOC,
26,11/06/2020,M,I-LOC,B-TIME
26,có,V,O,
26,kết quả,N,O,
26,dương tính,A,O,B-STATUS
26,với,E,O,
26,SARS,Np,B-LOC,
26,-,CH,O,
26,CoV,Ny,O,
26,-,CH,O,
26,2,M,O,
26,.,CH,O,
27,Hiện,N,O,
27,BN,N,O,B-BN
27,được,V,O,
27,chuyển,V,O,
27,cách ly,V,O,B-R
27,",",CH,O,
27,điều trị,V,O,B-R
27,tại,E,O,
27,Bệnh viện,N,B-LOC,B-HOS
27,Bệnh,N,I-LOC,I-HOS
27,nhiệt đới,N,I-LOC,I-HOS
27,Trung ương,N,I-LOC,I-HOS
27,cơ sở,N,I-LOC,I-HOS
27,2,M,I-LOC,I-HOS
27,.,CH,O,
28,THÔNG BÁO,Np,B-PER,
28,VỀ,Np,B-PER,
28,BN333,Np,I-PER,B-BN
28,(,CH,O,
28,BN333,Np,B-LOC,B-BN
28,),CH,O,
28,:,CH,O,
28,BN,Np,B-PER,
28,nam,N,O,B-SEX
28,",",CH,O,
28,37,M,O,B-AGE
28,tuổi,N,O,
28,",",CH,O,
28,có,V,O,
28,địa chỉ,N,O,
28,tại,E,O,
28,Phường,Np,B-LOC,I-ADD
28,9,M,O,I-ADD
28,",",CH,O,I-ADD
28,thành phố,N,B-LOC,I-ADD
28,Vũng Tàu,Np,I-LOC,I-ADD
28,",",CH,O,I-ADD
28,tỉnh,N,B-LOC,I-ADD
28,Bà Rịa,Np,I-LOC,I-ADD
28,-,CH,O,I-ADD
28,Vũng Tàu,Np,B-LOC,I-ADD
28,.,CH,O,
29,BN,Np,B-PER,B-BN
29,là,V,O,B-R
29,thuyền viên,N,O,I-R
29,trên,E,O,
29,tàu thủy,N,B-LOC,B-LOC
29,Pacific,Np,I-LOC,I-LOC
29,Vũng Tàu,Np,B-LOC,I-LOC
29,(,CH,O,
29,loại,N,O,
29,tàu,N,O,
29,dịch vụ,N,O,
29,lai,A,O,
29,kéo,V,O,
29,),CH,O,
29,hoạt động,V,O,
29,tại,E,O,
29,Malaysia,Np,B-LOC,
29,.,CH,O,
30,Ngày,N,O,
30,30/5/2020,M,O,B-TIME
30,từ,E,O,B-R
30,Malaysia,Np,B-LOC,B-LOC
30,nhập cảnh,V,O,B-R
30,tại,E,O,
30,cảng,N,B-LOC,B-LOC
30,Vũng Tàu,Np,I-LOC,I-LOC
30,và,C,O,
30,được,V,O,
30,chuyển,V,O,
30,cách ly,V,O,
30,tập trung,V,O,
30,ngay,T,O,
30,sau,N,O,
30,khi,N,O,
30,nhập cảnh,V,O,
30,.,CH,O,
31,Kết quả,N,O,
31,xét nghiệm,V,O,
31,lần,N,O,
31,1,M,O,
31,ngày,N,O,
31,31/5/2020,M,O,B-TIME
31,âm tính,N,O,B-STATUS
31,với,E,O,
31,vi rút,N,B-LOC,
31,SARS,Np,I-LOC,
31,-,CH,O,
31,CoV,Ny,O,
31,-,CH,O,
31,2,M,O,
31,",",CH,O,
31,ngày,N,O,
31,11/6/2020,M,O,B-TIME
31,(,CH,O,
31,khi,N,O,
31,chuẩn bị,V,O,
31,rời,V,O,
31,khu,N,O,
31,cách ly,V,O,
31,tập trung,V,O,
31,),CH,O,
31,xét nghiệm,V,O,
31,lần,N,B-LOC,
31,2,M,I-LOC,
31,dương tính,N,O,B-STATUS
31,với,E,O,
31,vi rút,N,B-LOC,
31,SARS,Np,I-LOC,
31,-,CH,O,
31,CoV,Ny,O,
31,-,CH,O,
31,2,M,O,
31,.,CH,O,
32,Hiện,N,O,
32,BN,Np,B-PER,B-BN
32,đang,R,O,
32,được,V,O,
32,chuyển,V,O,
32,cách ly,V,O,B-R
32,",",CH,O,
32,điều trị,V,O,B-R
32,tại,E,O,
32,Bệnh viện,N,B-LOC,B-HOS
32,Bà Rịa,Np,I-LOC,I-HOS
32,.,CH,O,
33,THÔNG BÁO,Np,B-PER,
33,VỀ,Np,B-PER,
33,BN332,Np,I-PER,B-BN
33,(,CH,O,
33,BN332,Np,B-LOC,B-BN
33,),CH,O,
33,:,CH,O,
33,BN,Np,B-PER,
33,nam,N,O,B-SEX
33,",",CH,O,
33,18,M,O,B-AGE
33,tuổi,N,O,
33,",",CH,O,
33,có,V,O,
33,địa chỉ,N,O,
33,tại,E,O,
33,xã,N,B-LOC,B-ADD
33,Thường Phước,Np,I-LOC,I-ADD
33,",",CH,O,I-ADD
33,huyện,N,B-LOC,I-ADD
33,Hồng Ngự,Np,I-LOC,I-ADD
33,",",CH,B-LOC,I-ADD
33,tỉnh,N,I-LOC,I-ADD
33,Đồng Tháp,Np,I-LOC,I-ADD
33,.,CH,O,
34,Ngày,N,O,
34,25/5,M,O,B-TIME
34,",",CH,O,
34,thanh niên,N,O,
34,này,P,O,
34,từ,E,O,B-R
34,nước ngoài,N,O,B-LOC
34,nhập cảnh,V,O,B-R
34,vào,E,O,
34,Việt Nam,Np,B-LOC,B-LOC
34,qua,V,O,B-R
34,cửa khẩu,N,B-LOC,B-LOC
34,Thường Phước,Np,I-LOC,I-LOC
34,",",CH,O,I-LOC
34,huyện,N,B-LOC,I-LOC
34,Hồng Ngự,Np,I-LOC,I-LOC
34,",",CH,O,I-LOC
34,tỉnh,N,B-LOC,I-LOC
34,Đồng Tháp,Np,I-LOC,I-LOC
34,và,C,O,
34,được,V,O,
34,cách ly,V,O,B-R
34,tập trung,V,O,
34,ngay,T,O,
34,tại,E,O,
34,Trung tâm,N,B-LOC,B-HOS
34,Y tế,N,I-LOC,I-HOS
34,huyện,N,I-LOC,I-HOS
34,Hồng Ngự,Np,I-LOC,I-HOS
34,.,CH,O,
35,Kết quả,N,O,
35,xét nghiệm,V,O,
35,lần,N,O,
35,1,M,O,
35,ngày,N,O,
35,26/5,M,O,B-TIME
35,âm tính,N,O,B-STATUS
35,với,E,O,
35,SARS,Np,B-LOC,
35,-,CH,O,
35,CoV,Ny,O,
35,-,CH,O,
35,2,M,O,
35,",",CH,O,
35,kết quả,N,O,
35,xét nghiệm,V,O,
35,lần,N,B-LOC,
35,2,M,I-LOC,
35,(,CH,O,
35,khi,N,O,
35,chuẩn bị,V,O,
35,rời,V,O,
35,khu,N,O,
35,cách ly,V,O,
35,tập trung,V,O,
35,),CH,O,
35,ngày,N,B-LOC,
35,07/6,M,I-LOC,B-TIME
35,là,V,O,
35,dương tính,N,O,B-STATUS
35,với,E,O,
35,SARS,Np,B-LOC,
35,-,CH,O,
35,CoV,Ny,O,
35,-,CH,O,
35,2,M,O,
35,.,CH,O,
36,Hiện,N,B-LOC,
36,BN,Np,I-LOC,B-BN
36,được,R,O,
36,cách ly,V,O,B-R
36,",",CH,O,
36,điều trị,V,O,B-R
36,tại,E,O,
36,Trung tâm,N,B-LOC,B-HOS
36,Y tế,N,I-LOC,I-HOS
36,huyện,N,I-LOC,I-HOS
36,Hồng Ngự,Np,I-LOC,I-HOS
36,",",CH,B-LOC,I-HOS
36,tỉnh,N,I-LOC,I-HOS
36,Đồng Tháp,Np,I-LOC,I-HOS
36,.,CH,O,
37,THÔNG BÁO,Np,O,
37,VỀ,Np,B-LOC,
37,2,M,I-LOC,
37,BN330,Np,I-LOC,B-BN
37,",",CH,O,
37,BN331,Np,B-LOC,B-BN
37,:,CH,B-LOC,
37,BN330,Np,I-LOC,B-BN
37,(,CH,O,
37,BN330,Np,B-LOC,B-BN
37,),CH,O,
37,là,V,O,
37,nữ giới,N,O,B-SEX
37,",",CH,O,
37,28,M,O,B-SEX
37,tuổi,N,O,
37,",",CH,O,
37,có,V,O,
37,địa chỉ,N,O,
37,tại,E,O,
37,Cẩm Nam,Np,B-LOC,B-ADD
37,",",CH,B-LOC,I-ADD
37,Cẩm Xuyên,Np,I-LOC,I-ADD
37,",",CH,O,I-ADD
37,Hà Tĩnh,Np,B-LOC,I-ADD
37,",",CH,O,
37,làm việc,V,O,B-R
37,tại,E,O,
37,một,M,O,
37,công ty,N,O,
37,ở,E,O,
37,TP.,Ny,B-LOC,B-LOC
37,HCM.,Np,I-LOC,I-LOC
38,BN331,Np,B-PER,B-BN
38,(,CH,O,
38,BN331,Np,B-LOC,B-BN
38,),CH,O,
38,là,V,O,
38,nữ giới,N,O,B-SEX
38,",",CH,O,
38,47,M,O,B-AGE
38,tuổi,N,O,
38,",",CH,O,
38,có,V,O,
38,địa chỉ,N,O,
38,tại,E,O,
38,phường,N,B-LOC,B-ADD
38,12,M,I-LOC,I-ADD
38,",",CH,O,I-ADD
38,Quận,Np,B-LOC,I-ADD
38,5,M,O,I-ADD
38,",",CH,O,I-ADD
38,TP.,Ny,B-LOC,I-ADD
38,HCM,Np,I-LOC,I-ADD
38,",",CH,O,
38,làm,V,O,B-R
38,cùng,A,O,I-R
38,công ty,N,O,I-R
38,với,E,O,
38,BN330,Np,B-PER,B-BN
38,.,CH,O,
39,Ngày,N,O,
39,13/3,M,O,B-TIME
39,",",CH,O,
39,hai,M,O,
39,BN,Np,B-PER,B-BNS
39,đi,V,O,
39,từ,E,O,B-R
39,TP.,Ny,B-LOC,B-LOC
39,HCM,Np,I-LOC,I-LOC
39,đến,E,O,B-R
39,Mexico,Np,B-LOC,B-LOC
39,.,CH,O,
40,Do,E,O,
40,đóng,V,O,
40,cửa,N,O,
40,biên giới,N,O,
40,và,C,O,
40,cấm,V,O,
40,bay,V,O,
40,nên,C,O,
40,đã,R,O,
40,ở,V,O,
40,lại,V,B-LOC,
40,Mexico,Np,I-LOC,
40,đến,E,O,
40,ngày,N,B-LOC,
40,4/6,M,I-LOC,B-TIME
40,cùng,C,O,
40,bay,V,O,
40,về,E,O,B-R
40,Nhật Bản,Np,B-LOC,B-LOC
40,",",CH,B-LOC,
40,ngày,N,I-LOC,
40,5/6,M,I-LOC,B-TIME
40,từ,E,O,B-R
40,Nhật Bản,Np,B-LOC,B-LOC
40,bay,V,O,
40,về,E,O,B-R
40,Đà Nẵng,Np,B-LOC,B-LOC
40,trên,E,O,
40,chuyến,N,O,
40,bay,V,O,
40,VN319,Np,B-LOC,B-FLIGHT
40,.,CH,O,
41,Hiện,N,O,B-TIME
41,BN,Np,B-PER,B-BN
41,đang,R,O,
41,cách ly,V,O,B-R
41,",",CH,O,
41,điều trị,V,O,B-R
41,tại,E,O,
41,Bệnh viện,N,B-LOC,B-HOS
41,Đa khoa,N,I-LOC,I-HOS
41,Trung ương,N,I-LOC,I-HOS
41,Quảng Nam,Np,I-LOC,I-HOS
41,.,CH,O,
42,Như vậy,X,O,
42,",",CH,O,
42,tính,V,O,
42,đến,E,O,
42,6h,M,O,
42,ngày,N,O,
42,8/6,M,O,B-TIME
42,",",CH,O,
42,Việt Nam,Np,B-LOC,
42,có,V,O,
42,tổng cộng,N,O,
42,191,V,O,
42,ca,N,O,
42,nhiễm,V,O,
42,nhập cảnh,N,O,
42,được,V,O,
42,cách ly,V,O,
42,ngay,R,O,
42,",",CH,O,
42,đã,R,O,
42,có,V,O,
42,53,M,O,
42,ngày,N,O,
42,liên tiếp,A,O,
42,không,R,O,
42,có,V,O,
42,ca,N,O,
42,lây nhiễm,V,O,
42,trong,E,O,
42,cộng đồng,N,O,
42,.,CH,O,
43,THÔNG BÁO,Np,B-PER,
43,VỀ,Np,B-PER,
43,BN329,Np,I-PER,B-BN
43,(,CH,O,
43,BN329,Np,B-LOC,B-BN
43,),CH,O,
43,:,CH,O,
43,BN,Np,B-PER,
43,nam,N,O,B-SEX
43,",",CH,O,
43,22,M,O,B-AGE
43,tuổi,N,O,
43,",",CH,O,
